,1,2,3,4,5,6,7,8,9,10,11,12
0,种花,骗子,致敬,回家,兔子,如你所愿,谢谢,谢谢,致敬,中巴,中巴,感激
1,泪目,回来,种花,忠骨,大国,盛世,我学,暂停,礼炮,兔子,友谊,种花
2,兔子,君临天下,此生,马革裹尸,一只,男神,QAQ,成功,献上,友谊,万岁,幸福
3,感动,雄赳赳,敬礼,公辞,致敬,蘑菇,兔子,致敬,中华,万岁,感激,这碗
4,中国,有生之年,无悔,青山,钱学森,周总理,大哥,算盘,崛起,中多,粤语,有生之年
5,QAQ,致敬,君临天下,今夕,种花,兔子,毛熊,感激,16,打脸,弹幕,来世
6,中华,气昂昂,感激,六十,流氓,哈哈哈,苏联,真的,敬礼,感激,幸福,湾湾
7,无悔,抗美援朝,QAQ,QAQ,祖国,总理,老大哥,幸福,00,幸福,长存,君临天下
8,此生,弹幕,有生之年,当归,QAQ,坦率,感激,谢谢你们,奇迹,快递,言之不预,回家吧
9,卧槽,鸭绿江,幸福,泪目,放心,腰杆子,幸福,二维码,万岁,哈哈哈,兔子,一口气
10,万岁,泪目,兔子,英雄,泪目,原子弹,俄语,亲们,颜色,鹰酱,勿谓,回来
11,哈哈哈,跨过,泪目,敬礼,感激,种花,酒精,没签,种花,一眼,巴基斯坦,12
12,骄傲,冷战,万岁,前方,哈哈哈,弹幕,种花,作者,15,人群,印度,撒花
13,山新,说好,冻住,一集,一集,回家,哈哈哈,兔子,97,东风,哈哈哈,2016
14,国共合作,QAQ,中国,可爱,幸福,3D,泪目,伊万,96,十集,阿三,完结
15,追梦,爷爷,来世,高能,谢谢你们,阿三,感谢,公式,QAQ,氢弹,白象,此生
16,赤子心,兔子,眼泪,致敬,回家,小钱,我考,哈哈哈,壮哉,啪啪,板砖,中国
17,日本,朝鲜,华夏,回来,邓稼先,哈哈哈哈,医用,QAQ,兔子,必达,巴铁,无悔
18,脚盆,种花,一集,高虐,杨振宁,23333,弹幕,种花,17,flag,好萌,回家
19,原子弹,哈哈哈,中华人民共和国,上甘岭,中国,苹果树,好好学习,卧槽,谢谢,长存,唐马儒,2017
